,1,2,3,5,10
10,3.176718871487282,3.507097697721579,3.7281795511221945,4.239157069345749,
20,2.0692033567076678,2.1777120580723217,2.1939586645469,2.867312635950168,3.2792925571112748
50,1.1460647877441235,1.1610598392378684,1.0285474391267841,1.2717253073336159,1.8062397372742198
100,0.42,0.49,0.5499999999999999,0.41000000000000003,0.61
200,0.06,0.12,0.06,0.04,0.16
500,0.0,0.02,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,3.176718871487282,3.507097697721579,3.7281795511221945,4.239157069345749,
20,2.0692033567076678,2.1777120580723217,2.1939586645469,2.867312635950168,3.2792925571112748
50,1.1460647877441235,1.1610598392378684,1.0285474391267841,1.2717253073336159,1.8062397372742198
100,0.42,0.49,0.5499999999999999,0.41000000000000003,0.61
200,0.06,0.12,0.06,0.04,0.16
500,0.0,0.02,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
